"","mun","tipoesc","nomesc","endesc","numesc","complend","baiesc","ddd","fone1","fone2","email","alem","alejaem","alteleem","nomeFormat","cidNome","cep","endComp"
"1","Campinas","08","luiz galhardo professor","rua padre bento dias pacheco","62",NA,"jardim cura d'ars","019","32231726",NA,"e045664a@educacao.sp.gov.br"," 264"," 78","0","Professor Luiz Galhardo","Campinas - Professor Luiz Galhardo","13045-530","rua padre bento dias pacheco, 62, NA, Campinas"
"2","Campinas","08","lais bertoni pereira professora","avenida maria julieta godoi cartezani","132",NA,"vila palacios","019","32233086","32230358","e018491a@educacao.sp.gov.br"," 253","  0","0","Professora Lais Bertoni Pereira","Campinas - Professora Lais Bertoni Pereira","13060-660","avenida maria julieta godoi cartezani, 132, NA, Campinas"
"3","Campinas","08","julio mesquita","rua daniel cesario de andrade","190",NA,"jardim oliveiras","019","32763720","32769904","e018594a@educacao.sp.gov.br"," 354","  0","0","Julio Mesquita","Campinas - Julio Mesquita","13044-035","rua daniel cesario de andrade, 190, NA, Campinas"
"4","Campinas","08","pedro salvetti netto professor","rua padre eustaquio","sn",NA,"jardim capivari","019","32231393",NA,"e045664a@educacao.sp.gov.br"," 412","  0","0","Professor Pedro Salvetti Netto","Campinas - Professor Pedro Salvetti Netto","13050-802","rua padre eustaquio, sn, NA, Campinas"
"5","Campinas","08","jardim marisa","rua tte antonio sebastiao thomaz","sn",NA,"jardim marisa","019","32656247","32656253","e561411a@educacao.sp.gov.br"," 399","  0","0","Jardim Marisa","Campinas - Jardim Marisa","13053-206","rua tte antonio sebastiao thomaz, sn, NA, Campinas"
"6","Campinas","08","francisco ribeiro sampaio professor","rua fernando vaqueiro ferreira","415",NA,"jardim nossa senhora de lourdes","019","32271946",NA,"e018508a@educacao.sp.gov.br"," 130","  0","0","Professor Francisco Ribeiro Sampaio","Campinas - Professor Francisco Ribeiro Sampaio","13051-564","rua fernando vaqueiro ferreira, 415, NA, Campinas"
"7","Valinhos","08","maria neiva abdelmassih justo professoraa","rua primo zanella","121",NA,"jardim america ii","019","38717240","38715179","profmarianeiva@hiway.com.br"," 190","  0","0","Maria Neiva Abdelmassih Justo Professoraa","Valinhos - Maria Neiva Abdelmassih Justo Professoraa","13272-504","rua primo zanella, 121, NA, Valinhos"
"8","Vinhedo","08","patriarca da independencia","rua rui barbosa","55",NA,"vila planalto","019","38766790","38362821","e018417a@educacao.sp.gov.br"," 461","  0","0","Patriarca Da Independencia","Vinhedo - Patriarca Da Independencia","13280-000","rua rui barbosa, 55, NA, Vinhedo"
"9","Campinas","08","procopio ferreira","rua synira de arruda valente","1342",NA,"jardim dos oliveiras","019","32763911","32762285","e040859a@educacao.sp.gov.br"," 109","  0","0","Procopio Ferreira","Campinas - Procopio Ferreira","13044-260","rua synira de arruda valente, 1342, NA, Campinas"
"10","Campinas","08","eduardo barnabe deputado","rua adilio de oliveira goncalves","sn",NA,"dic i (conjunto habitacional monsenhor luiz fernando abreu)","019","32667708","32669566","e047156a@educacao.sp.gov.br"," 389","121","0","Deputado Eduardo Barnabe","Campinas - Deputado Eduardo Barnabe","13056-342","rua adilio de oliveira goncalves, sn, NA, Campinas"
"11","Campinas","08","antonio carlos lehman","rua anibal bellini","72",NA,"conjunto residencial sao bento","019","32217209",NA,"e432842a@educacao.sp.gov.br"," 318"," 77","0","Antonio Carlos Lehman","Campinas - Antonio Carlos Lehman","13058-440","rua anibal bellini, 72, NA, Campinas"
"12","Campinas","08","newton oppermann doutor","rua heloisa prato galbiatti","500",NA,"jardim florence","019","32611494",NA,"e901131a@educacao.sp.gov.br"," 279","  0","0","Doutor Newton Oppermann","Campinas - Doutor Newton Oppermann","13059-032","rua heloisa prato galbiatti, 500, NA, Campinas"
"13","Campinas","08","therezina da fonseca pares professora","rua bertholdo fernandes de castro","260",NA,"jardim das bandeiras","019","32271772","32270393","e905461a@educacao.sp.gov.br"," 389"," 66","0","Professora Therezina Da Fonseca Pares","Campinas - Professora Therezina Da Fonseca Pares","13051-114","rua bertholdo fernandes de castro, 260, NA, Campinas"
"14","Campinas","08","maria de lourdes campos freire marques professora","avenida andre tosello","65",NA,"jardim paraiso de viracopos","019","32257494","32650090","e907406a@educacao.sp.gov.br"," 329","  0","0","Professora Maria De Lourdes Campos Freire Marques","Campinas - Professora Maria De Lourdes Campos Freire Marques","13052-220","avenida andre tosello, 65, NA, Campinas"
"15","Campinas","08","paulo luiz decourt professor","rua vicente celestino","sn",NA,"jardim antonio von zuben","019","32762573","32762581","e913923a@educacao.sp.gov.br"," 119","  0","0","Professor Paulo Luiz Decourt","Campinas - Professor Paulo Luiz Decourt","13044-640","rua vicente celestino, sn, NA, Campinas"
"16","Campinas","08","antonio da costa santos prefeito","rua guerino donega","40",NA,"jardim planalto de viracopos","019","32259944",NA,"e922985a@educacao.sp.gov.br"," 655","  0","0","Prefeito Antonio Da Costa Santos","Campinas - Prefeito Antonio Da Costa Santos","13056-017","rua guerino donega, 40, NA, Campinas"
"17","Campinas","08","miguel vicente cury","rua sao cirilo","354",NA,"conjunto habitacional padre anchieta","019","32811361","32815703","e045718a@educacao.sp.gov.br"," 738"," 93","0","Miguel Vicente Cury","Campinas - Miguel Vicente Cury","13068-413","rua sao cirilo, 354, NA, Campinas"
"18","Nova Odessa","08","joaquim rodrigues azenha dr","avenida paschoal piconi","399",NA,"jardim sao manoel","019","34661040","34663015","e905574a@educacao.sp.gov.br"," 359","  0","0","Dr Joaquim Rodrigues Azenha","Nova Odessa - Dr Joaquim Rodrigues Azenha","13460-000","avenida paschoal piconi, 399, NA, Nova Odessa"
"19","Campinas","08","newton pimenta neves professor","av suacuna","16",NA,"vila aeroporto","019","32667793",NA,"e046176a@educacao.sp.gov.br"," 701","  0","0","Professor Newton Pimenta Neves","Campinas - Professor Newton Pimenta Neves","13054-105","av suacuna, 16, NA, Campinas"
"20","Campinas","08","veneranda martins siqueira dona","rua girlane simoes","sn",NA,"jardim mercedes","019","32271350",NA,"e902559a@educacao.sp.gov.br"," 445","  0","0","Dona Veneranda Martins Siqueira","Campinas - Dona Veneranda Martins Siqueira","13056-663","rua girlane simoes, sn, NA, Campinas"
"21","Campinas","08","hugo penteado teixeira","rua doutor mauricio lourencao seber","90",NA,"conjunto habitacional parque itajai","019","32611258",NA,"e915592a@educacao.sp.gov.br"," 248","  0","0","Hugo Penteado Teixeira","Campinas - Hugo Penteado Teixeira","13058-091","rua doutor mauricio lourencao seber, 90, NA, Campinas"
"22","Campinas","08","gloria aparecida rosa viana professora","rua doutor julio wilfredo castro peres","sn",NA,"cidade satelite iris","019","32278979",NA,"e924933a@educacao.sp.gov.br"," 289","  0","0","Professora Gloria Aparecida Rosa Viana","Campinas - Professora Gloria Aparecida Rosa Viana","13059-642","rua doutor julio wilfredo castro peres, sn, NA, Campinas"
"23","Campinas","08","residencial sao jose","rua lucia craveiro bressan","sn",NA,"reisdencial sao jose","019","32669775",NA,"e924945a@educacao.sp.gov.br"," 526","  0","0","Residencial Sao Jose","Campinas - Residencial Sao Jose","13057-162","rua lucia craveiro bressan, sn, NA, Campinas"
"24","Campinas","34","centro atend socio-educ adolescente int jequitiba - ui","r jose perina","30",NA,"jardim sao vicente","019","32763737",NA,"e559912a@educacao.sp.gov.br","  14","  0","0","Centro Atend Socio-educ Adolescente Int Jequitiba - Ui","Campinas - Centro Atend Socio-educ Adolescente Int Jequitiba - Ui","13045-185","r jose perina, 30, NA, Campinas"
"25","Valinhos","08","americo belluomini professor","rua professora alice nonato","sn",NA,"vila progresso","019","38715899","38712984","e018132a@educacao.sp.gov.br"," 365","  0","0","Professor Americo Belluomini","Valinhos - Professor Americo Belluomini","13277-060","rua professora alice nonato, sn, NA, Valinhos"
"26","Valinhos","08","cyro de barros rezende professor","rua carlos gomes","280",NA,"vila sao sebastiao","019","38714244","38716743","e018168a@educacao.sp.gov.br"," 500","137","0","Professor Cyro De Barros Rezende","Valinhos - Professor Cyro De Barros Rezende","13271-050","rua carlos gomes, 280, NA, Valinhos"
"27","Hortolandia","08","guido rosolen","r guido rosolem","201",NA,"jardim rosolem","019","38871546","38875777","e017255a@educacao.sp.gov.br"," 364","109","0","Guido Rosolen","Hortolandia - Guido Rosolen","13185-320","r guido rosolem, 201, NA, Hortolandia"
"28","Hortolandia","08","euzebio antonio rodrigues professor","avenida brasil","sn",NA,"jardim amanda ii","019","38971243",NA,"e924131a@educacao.sp.gov.br"," 441","228","0","Professor Euzebio Antonio Rodrigues","Hortolandia - Professor Euzebio Antonio Rodrigues","13188-252","avenida brasil, sn, NA, Hortolandia"
"29","Paulinia","08","parque dos servidores","rua me maria villac","141",NA,"bela vista","019","38443838","38443358","e462822a@educacao.sp.gov.br"," 652","  0","0","Parque Dos Servidores","Paulinia - Parque Dos Servidores","13145-008","rua me maria villac, 141, NA, Paulinia"
"30","Sumare","08","euclides miranda vereador","rua ernesto peggion","27",NA,"vila yolanda costa silva","019","38732464","38736544","e035981a@educacao.sp.gov.br"," 392","230","0","Vereador Euclides Miranda","Sumare - Vereador Euclides Miranda","13172-190","rua ernesto peggion, 27, NA, Sumare"
"31","Sumare","08","alice antenor de souza professora","rua das criancas","95",NA,"jardim picerno ii","019","38731883","38736309","e049414a@educacao.sp.gov.br"," 344","  0","0","Professora Alice Antenor De Souza","Sumare - Professora Alice Antenor De Souza","13173-322","rua das criancas, 95, NA, Sumare"
"32","Sumare","08","wadih jorge maluf","rua santa clara","238",NA,"jardim  santa clara","019","38641137","38543881","e017310a@educacao.sp.gov.br"," 675","  0","0","Wadih Jorge Maluf","Sumare - Wadih Jorge Maluf","13179-215","rua santa clara, 238, NA, Sumare"
"33","Sumare","08","marinalva gimenes colossal da cunha","rua antonio menuzzo","sn",NA,"parque jatoba","019","38734494","38734110","e924672a@educacao.sp.gov.br"," 236","  0","0","Marinalva Gimenes Colossal Da Cunha","Sumare - Marinalva Gimenes Colossal Da Cunha","13175-642","rua antonio menuzzo, sn, NA, Sumare"
