"","nome","permanencia","abandono","mun","tipoesc","endesc","numesc","complend","baiesc","codcep","compcep","ddd","fone1","fone2","email"
"1","adalberto nascimento",6,5,"CAMPINAS","08","RUA ADALBERTO MAIA","235",NA,"TAQUARAL","13076","971","019","32512824","32546945","E018284A@EDUCACAO.SP.GOV.BR"
"2","adalberto prado e silva professor",1,0,"CAMPINAS","08","RUA DOS  ARAPANES","SN",NA,"VILA COSTA E SILVA","13081","050","019","32080455","32083668","E018260A@EDUCACAO.SP.GOV.BR"
"3","anibal de freitas professor",1,4,"CAMPINAS","08","R PRIMEIRO DE MARCO","38",NA,"JARDIM NOSSA SENHORA AUXILIADORA","13075","250","019","32417783","32120844","E018314A@EDUCACAO.SP.GOV.BR"
"4","antonio vilela junior professor",1,0,"CAMPINAS","08","RUA CONSELHEIRO GOMIDE","SN",NA,"VILA INDUSTRIAL","13035","320","019","32727574","32738481","E018715A@EDUCACAO.SP.GOV.BR"
"5","porphyrio da paz general",4,2,"PAULINIA","06","RUA PRESIDENTE COSTA E SILVA","520",NA,"NOVA PAULINIA","13140","297","019","38743090",NA,"E018892A@EDUCACAO.SP.GOV.BR"
"6","celso henrique tozzi professor",2,0,"JAGUARIUNA","08","RUA MARECHAL FLORIANO PEIXOTO","261",NA,"BERLIM","13820","000","019","38671570","38675091","E017700A@EDUCACAO.SP.GOV.BR"
"7","dom barreto",2,0,"CAMPINAS","08","AVENIDA GENERAL CARNEIRO","120",NA,"PONTE PRETA","13041","306","019","32368472","32366120","E018797A@EDUCACAO.SP.GOV.BR"
"8","eliseu narciso reverendo",1,0,"CAMPINAS","08","RUA SEBASTIAO DE CAMPOS","16",NA,"DIC III (CONJUNTO HABITACIONAL RUY NOVAES)","13054","233","019","32667866","32669600","E901118A@EDUCACAO.SP.GOV.BR"
"9","eunice virginia ramos navero professora",0,1,"CAMPINAS","08","R ALCEU AMOROSO LIMA","188",NA,"PARQUE IMPERADOR","13097","124","019","32073066","32070088","E912924A@EDUCACAO.SP.GOV.BR"
"10","felipe cantusio",1,0,"CAMPINAS","08","RUA CUSTODIO JOSE INACIO RODRIGUES","269",NA,"PARQUE INDUSTRIAL","13031","600","019","32732875","32730000","E018806A@EDUCACAO.SP.GOV.BR"
